days_to_meeting,finalrmse,source
117,0.2621992324550232,daily
118,0.2656790259459506,daily
119,0.26062425059844685,daily
120,0.24775239655753667,daily
121,0.30101494979486,daily
122,0.22576344833782644,interpolated
123,0.1505119468807929,daily
124,0.20742066756554148,daily
125,0.21263122310008375,daily
126,0.23421982958628373,daily
127,0.25185791114715195,daily
128,0.2899999999999978,daily
129,0.21361319312107613,interpolated
130,0.1372263862421544,daily
131,0.15215637515398392,daily
132,0.12794652203166898,daily
133,0.11791457142290028,daily
134,0.095564114603758,daily
135,0.10287227682610925,interpolated
136,0.11018043904846049,interpolated
137,0.11748860127081175,daily
138,0.11378116648265635,daily
139,0.1256648983076313,daily
140,0.10878386172327652,daily
141,0.1272546659262448,daily
142,0.12847655238707784,interpolated
143,0.1296984388479109,interpolated
144,0.13092032530874395,daily
145,0.14968147999851697,daily
146,0.13549907748763573,daily
147,0.1366565036871677,daily
148,0.13734731782705556,daily
149,0.13972970958511846,interpolated
150,0.1421121013431814,interpolated
151,0.1444944931012443,daily
152,0.14648094301535325,daily
153,0.15462112503695133,daily
154,0.16293622766504307,daily
155,0.173802022016843,daily
156,0.16314086335683853,interpolated
157,0.15247970469683408,interpolated
158,0.1418185460368296,daily
159,0.1232000846978792,daily
160,0.1118377946299576,daily
161,0.18586669570267134,daily
162,0.12144957801491242,daily
163,0.12022113884542597,interpolated
164,0.11899269967593953,interpolated
165,0.11776426050645308,daily
166,0.3290896534380872,daily
167,0.18881207588499288,daily
168,0.20349622671124573,daily
169,0.2011122916336901,daily
170,0.20728498485778518,interpolated
171,0.21345767808188024,interpolated
172,0.21963037130597532,daily
173,0.21461952022483716,daily
174,0.2449708437461783,daily
175,0.20453198608856688,daily
176,0.22831397838781878,daily
177,0.20745311384262247,interpolated
178,0.18659224929742618,interpolated
179,0.16573138475222987,daily
180,0.17746167771894694,daily
181,0.17850878021930702,daily
182,0.16868115879769546,daily
183,0.5587994580899766,quarterly_anchor
184,0.4407259695031599,interpolated
185,0.32265248091634324,interpolated
186,0.2045789923295266,daily
187,0.2076378133637088,daily
188,0.21863211109075414,daily
189,0.18906253689492128,daily
190,0.14813422967025786,daily
191,0.14996048368070133,interpolated
192,0.15178673769114479,interpolated
193,0.15361299170158826,daily
194,0.16059983714907175,daily
195,0.2134556940756866,daily
196,0.17951758270431406,daily
197,0.1961122127762591,daily
198,0.19871557345826374,interpolated
199,0.2013189341402684,interpolated
200,0.20392229482227306,daily
201,0.18242578399630727,daily
202,0.16868609901233764,daily
203,0.18634086150564774,daily
204,0.2010309964618928,daily
205,0.2002725792939588,interpolated
206,0.19951416212602485,interpolated
207,0.19875574495809087,daily
208,0.1984995801842759,daily
209,0.2143864232211061,daily
210,0.18939173891495562,daily
211,0.1913874778209548,daily
212,0.18957455550639743,interpolated
213,0.18776163319184005,interpolated
214,0.18594871087728268,daily
215,0.19492214563035973,daily
216,0.18773772808216915,daily
217,0.21609292872779007,daily
218,0.20198447285058044,daily
219,0.20999999999999996,daily
220,0.20999999999999996,daily
