days_ahead,rmse_quarterly,rmse_daily,rmse_base,rmse_interpolated
284,NA,0.33255772860834737,0.33255772860834737,0.33255772860834737
285,NA,0.3479528040498508,0.3479528040498508,0.3479528040498508
286,NA,0.30373634822123163,0.30373634822123163,0.30373634822123163
287,NA,0.30374154897120614,0.30374154897120614,0.30374154897120614
288,NA,0.31885914420971884,0.31885914420971884,0.31885914420971884
289,NA,NA,NA,0.3143266136124617
290,NA,NA,NA,0.30979408301520467
291,NA,0.30526155241794756,0.30526155241794756,0.30526155241794756
292,NA,0.3139879958508945,0.3139879958508945,0.3139879958508945
293,NA,0.35405684571831286,0.35405684571831286,0.35405684571831286
294,NA,0.39717124770053547,0.39717124770053547,0.39717124770053547
295,NA,0.3908777515626419,0.3908777515626419,0.3908777515626419
296,NA,NA,NA,0.3881846345240221
297,NA,NA,NA,0.3854915174854022
298,NA,0.3827984004467824,0.3827984004467824,0.3827984004467824
299,NA,0.3882802318706668,0.3882802318706668,0.3882802318706668
300,NA,0.40295264403318426,0.40295264403318426,0.40295264403318426
301,NA,0.4118859065323808,0.4118859065323808,0.4118859065323808
302,NA,0.4044749683231332,0.4044749683231332,0.4044749683231332
303,NA,NA,NA,0.4102941015135348
304,NA,NA,NA,0.4161132347039364
305,NA,0.421932367894338,0.421932367894338,0.421932367894338
306,NA,0.440208284035333,0.440208284035333,0.440208284035333
307,NA,0.4264094276631313,0.4264094276631313,0.4264094276631313
308,NA,0.4168309932371583,0.4168309932371583,0.4168309932371583
309,NA,0.4158224781482278,0.4158224781482278,0.4158224781482278
310,NA,NA,NA,0.43376857937932944
311,NA,NA,NA,0.451714680610431
312,NA,0.46966078184153265,0.46966078184153265,0.46966078184153265
313,NA,0.47577062993389246,0.47577062993389246,0.47577062993389246
314,NA,0.4711646780544512,0.4711646780544512,0.4711646780544512
315,NA,0.46271564619187944,0.46271564619187944,0.46271564619187944
316,NA,0.4880744478731364,0.4880744478731364,0.4880744478731364
317,NA,NA,NA,0.47703916582955547
318,NA,NA,NA,0.46600388378597446
319,NA,0.4549686017423935,0.4549686017423935,0.4549686017423935
320,NA,0.44658659108098464,0.44658659108098464,0.44658659108098464
321,NA,0.47424433819255285,0.47424433819255285,0.47424433819255285
322,NA,0.4835250030468213,0.4835250030468213,0.4835250030468213
323,NA,0.47065959519110506,0.47065959519110506,0.47065959519110506
324,NA,NA,NA,0.47718094806896694
325,NA,NA,NA,0.48370230094682887
326,NA,0.49022365382469074,0.49022365382469074,0.49022365382469074
327,NA,0.44213160613425534,0.44213160613425534,0.44213160613425534
328,NA,0.42849468177294,0.42849468177294,0.42849468177294
329,NA,0.4033675211799501,0.4033675211799501,0.4033675211799501
330,NA,0.350888980908602,0.350888980908602,0.350888980908602
331,NA,NA,NA,0.34495651360537805
332,NA,NA,NA,0.3390240463021541
333,NA,0.33309157899893016,0.33309157899893016,0.33309157899893016
334,NA,0.32681740373581036,0.32681740373581036,0.32681740373581036
335,NA,0.354360203530468,0.354360203530468,0.354360203530468
336,NA,0.37937997662853334,0.37937997662853334,0.37937997662853334
337,NA,0.3882224448259882,0.3882224448259882,0.3882224448259882
338,NA,NA,NA,0.3831172897284105
339,NA,NA,NA,0.3780121346308328
340,NA,0.3729069795332551,0.3729069795332551,0.3729069795332551
341,NA,0.3854742334000872,0.3854742334000872,0.3854742334000872
342,NA,0.4118479695227355,0.4118479695227355,0.4118479695227355
343,NA,0.44921901926869406,0.44921901926869406,0.44921901926869406
344,NA,0.39747379368540386,0.39747379368540386,0.39747379368540386
345,NA,NA,NA,0.4066024309072031
346,NA,NA,NA,0.4157310681290024
347,NA,0.42485970535080164,0.42485970535080164,0.42485970535080164
348,NA,0.42846102057695545,0.42846102057695545,0.42846102057695545
349,NA,0.4059035504989984,0.4059035504989984,0.4059035504989984
350,NA,0.38125068305949755,0.38125068305949755,0.38125068305949755
351,NA,0.3754458887571096,0.3754458887571096,0.3754458887571096
352,NA,NA,NA,0.3854617679910095
353,NA,NA,NA,0.39547764722490936
354,NA,0.40549352645880926,0.40549352645880926,0.40549352645880926
355,NA,0.4468328718711459,0.4468328718711459,0.4468328718711459
356,NA,0.4482167046036042,0.4482167046036042,0.4482167046036042
357,NA,0.4530807244378675,0.4530807244378675,0.4530807244378675
358,NA,0.47761498241635125,0.47761498241635125,0.47761498241635125
359,NA,NA,NA,0.4752143467552794
360,NA,NA,NA,0.4728137110942076
361,NA,0.47041307543313576,0.47041307543313576,0.47041307543313576
362,NA,0.46186703048188404,0.46186703048188404,0.46186703048188404
363,NA,0.4885299770347152,0.4885299770347152,0.4885299770347152
364,NA,0.48122425719646095,0.48122425719646095,0.48122425719646095
365,0.7108299460137956,0.49533205645692513,0.7108299460137956,0.7108299460137956
366,NA,NA,NA,0.6484771161177617
367,NA,NA,NA,0.586124286221728
368,NA,0.5237714563256941,0.5237714563256941,0.5237714563256941
369,NA,0.4132518400846303,0.4132518400846303,0.4132518400846303
370,NA,0.4454632420301358,0.4454632420301358,0.4454632420301358
371,NA,0.45579178782219487,0.45579178782219487,0.45579178782219487
