days_ahead,rmse_quarterly,rmse_linear,rmse_loess,rmse_daily,adjustment_ratio,rmse_daily_adjusted,rmse_combined
1710,NA,1.2087469785514826,1.209061964231246,NA,2.4400211850592464,NA,1.2087469785514826
1711,NA,1.2089770161718496,1.2092897500740631,NA,2.4413419987948872,NA,1.2089770161718496
1712,NA,1.2092070537922164,1.20951748741186,NA,2.442662812530528,NA,1.2092070537922164
1713,NA,1.2094370914125834,1.2097451789838902,NA,2.443983626266169,NA,1.2094370914125834
1714,NA,1.2096671290329504,1.2099728275294073,NA,2.44530444000181,NA,1.2096671290329504
1715,NA,1.2098971666533171,1.2102004357876652,NA,2.446625253737451,NA,1.2098971666533171
1716,NA,1.2101272042736841,1.2104280064979174,NA,2.447946067473092,NA,1.2101272042736841
1717,NA,1.210357241894051,1.210655542399417,NA,2.449266881208733,NA,1.210357241894051
1718,NA,1.210587279514418,1.210883046231418,NA,2.4505876949443737,NA,1.210587279514418
1719,NA,1.2108173171347847,1.211110520733174,NA,2.4519085086800145,NA,1.2108173171347847
1720,NA,1.2110473547551517,1.2113379686439383,NA,2.4532293224156554,NA,1.2110473547551517
1721,NA,1.2112773923755187,1.2115653927029648,NA,2.4545501361512962,NA,1.2112773923755187
1722,NA,1.2115074299958855,1.2117927956495074,NA,2.455870949886937,NA,1.2115074299958855
1723,NA,1.2117374676162525,1.2120201802228185,NA,2.457191763622578,NA,1.2117374676162525
1724,NA,1.2119675052366192,1.2122475491621527,NA,2.458512577358219,NA,1.2119675052366192
1725,NA,1.2121975428569862,1.2124749052067634,NA,2.4598333910938597,NA,1.2121975428569862
1726,NA,1.212427580477353,1.212702251095904,NA,2.4611542048295005,NA,1.212427580477353
1727,NA,1.21265761809772,1.2129295895688281,NA,2.4624750185651414,NA,1.21265761809772
1728,NA,1.212887655718087,1.2131569233647892,NA,2.4637958323007823,NA,1.212887655718087
1729,NA,1.2131176933384538,1.2133842552230412,NA,2.465116646036423,NA,1.2131176933384538
1730,NA,1.2133477309588208,1.2136115878828373,NA,2.466437459772064,NA,1.2133477309588208
